method,seed,episode,global_step,return,length,epsilon,loss_mean,moving_avg_50,device
dqn,2,1,16,16.0,16,0.9981,0.0,16.0,cuda
dqn,2,2,40,24.0,24,0.99525,0.0,20.0,cuda
dqn,2,3,73,33.0,33,0.99133125,0.0,24.333333333333332,cuda
dqn,2,4,95,22.0,22,0.98871875,0.0,23.75,cuda
dqn,2,5,150,55.0,55,0.9821875,0.0,30.0,cuda
dqn,2,6,186,36.0,36,0.9779125,0.0,31.0,cuda
dqn,2,7,209,23.0,23,0.97518125,0.0,29.857142857142858,cuda
dqn,2,8,230,21.0,21,0.9726875,0.0,28.75,cuda
dqn,2,9,248,18.0,18,0.97055,0.0,27.555555555555557,cuda
dqn,2,10,269,21.0,21,0.96805625,0.0,26.9,cuda
dqn,2,11,293,24.0,24,0.96520625,0.0,26.636363636363637,cuda
dqn,2,12,309,16.0,16,0.96330625,0.0,25.75,cuda
dqn,2,13,320,11.0,11,0.962,0.0,24.615384615384617,cuda
dqn,2,14,341,21.0,21,0.95950625,0.0,24.357142857142858,cuda
dqn,2,15,360,19.0,19,0.95725,0.0,24.0,cuda
dqn,2,16,387,27.0,27,0.95404375,0.0,24.1875,cuda
dqn,2,17,406,19.0,19,0.9517875,0.0,23.88235294117647,cuda
dqn,2,18,421,15.0,15,0.95000625,0.0,23.38888888888889,cuda
dqn,2,19,449,28.0,28,0.94668125,0.0,23.63157894736842,cuda
dqn,2,20,459,10.0,10,0.94549375,0.0,22.95,cuda
dqn,2,21,495,36.0,36,0.94121875,0.0,23.571428571428573,cuda
dqn,2,22,555,60.0,60,0.93409375,0.0,25.227272727272727,cuda
dqn,2,23,570,15.0,15,0.9323125,0.0,24.782608695652176,cuda
dqn,2,24,588,18.0,18,0.930175,0.0,24.5,cuda
dqn,2,25,607,19.0,19,0.92791875,0.0,24.28,cuda
dqn,2,26,625,18.0,18,0.92578125,0.0,24.03846153846154,cuda
dqn,2,27,646,21.0,21,0.9232875,0.0,23.925925925925927,cuda
dqn,2,28,670,24.0,24,0.9204375,0.0,23.928571428571427,cuda
dqn,2,29,684,14.0,14,0.918775,0.0,23.586206896551722,cuda
dqn,2,30,701,17.0,17,0.91675625,0.0,23.366666666666667,cuda
dqn,2,31,712,11.0,11,0.91545,0.0,22.967741935483872,cuda
dqn,2,32,722,10.0,10,0.9142625,0.0,22.5625,cuda
dqn,2,33,731,9.0,9,0.91319375,0.0,22.151515151515152,cuda
dqn,2,34,746,15.0,15,0.9114125,0.0,21.941176470588236,cuda
dqn,2,35,770,24.0,24,0.9085625,0.0,22.0,cuda
dqn,2,36,783,13.0,13,0.90701875,0.0,21.75,cuda
dqn,2,37,808,25.0,25,0.90405,0.0,21.83783783783784,cuda
dqn,2,38,835,27.0,27,0.90084375,0.0,21.973684210526315,cuda
dqn,2,39,866,31.0,31,0.8971625,0.0,22.205128205128204,cuda
dqn,2,40,932,66.0,66,0.889325,0.0,23.3,cuda
dqn,2,41,948,16.0,16,0.887425,0.0,23.121951219512194,cuda
dqn,2,42,959,11.0,11,0.8861187500000001,0.0,22.833333333333332,cuda
dqn,2,43,997,38.0,38,0.88160625,0.0,23.186046511627907,cuda
dqn,2,44,1011,14.0,14,0.87994375,0.3167563049743573,22.977272727272727,cuda
dqn,2,45,1037,26.0,26,0.87685625,0.03398264654410573,23.044444444444444,cuda
dqn,2,46,1050,13.0,13,0.8753125,0.011355619913396927,22.82608695652174,cuda
dqn,2,47,1072,22.0,22,0.8727,0.0031767754804935644,22.80851063829787,cuda
dqn,2,48,1095,23.0,23,0.86996875,0.0015437540006013992,22.8125,cuda
dqn,2,49,1112,17.0,17,0.86795,0.0011610711346079102,22.693877551020407,cuda
dqn,2,50,1122,10.0,10,0.8667625,0.0010454098810441792,22.44,cuda
dqn,2,51,1134,12.0,12,0.8653375,0.0011391195002943277,22.36,cuda
dqn,2,52,1162,28.0,28,0.8620125000000001,0.001012553887578958,22.44,cuda
dqn,2,53,1179,17.0,17,0.85999375,0.0010094055238262039,22.12,cuda
dqn,2,54,1202,23.0,23,0.8572625,0.0009652428827552205,22.14,cuda
dqn,2,55,1216,14.0,14,0.8556,0.0009802117222404508,21.32,cuda
dqn,2,56,1231,15.0,15,0.85381875,0.0009635122056351975,20.9,cuda
dqn,2,57,1253,22.0,22,0.85120625,0.0011628081172768195,20.88,cuda
dqn,2,58,1265,12.0,12,0.84978125,0.00095992742474967,20.7,cuda
dqn,2,59,1273,8.0,8,0.84883125,0.0009390897175762802,20.5,cuda
dqn,2,60,1316,43.0,43,0.8437250000000001,0.0009827562827795615,20.94,cuda
dqn,2,61,1329,13.0,13,0.84218125,0.001016361486668197,20.72,cuda
dqn,2,62,1343,14.0,14,0.84051875,0.0011750569974537939,20.68,cuda
dqn,2,63,1352,9.0,9,0.83945,0.0009586885668492565,20.64,cuda
dqn,2,64,1367,15.0,15,0.83766875,0.000834027449794424,20.52,cuda
dqn,2,65,1380,13.0,13,0.836125,0.0008166530572522718,20.4,cuda
